title,handle,status,variants,availableForSaleVariants,trackedVariants,totalInventory,policies
"North & Pearl Sculpted Initial Ring","north-pearl-initial-ring","ACTIVE","1","1","0","0","DENY"
"North & Pearl Charm Classic Letter Necklace","north-pearl-letter-necklace-6249","ACTIVE","1","1","0","0","DENY"
"North & Pearl Refined Clover Jewelry Set","north-pearl-clover-jewelry-set","ACTIVE","1","1","0","0","DENY"
"North & Pearl Stackable Clover Bracelet","north-pearl-clover-bracelet-5386","ACTIVE","1","1","0","0","DENY"
"North & Pearl Dainty Clover Necklace","north-pearl-clover-necklace","ACTIVE","1","1","0","0","DENY"
"North & Pearl Refined Bloom Earrings","north-pearl-flower-earrings-5632","ACTIVE","1","1","0","0","DENY"
"North & Pearl Keepsake Letter Bracelet","north-pearl-letter-bracelet-4295","ACTIVE","1","1","0","0","DENY"
"North & Pearl Stacking Layering Name Necklace","north-pearl-name-necklace-8559","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Statement Ring","north-pearl-signature-ring-7015","ACTIVE","1","1","0","0","DENY"
"North & Pearl Charm Classic Name Necklace","north-pearl-name-necklace-5568","ACTIVE","1","1","0","0","DENY"
"North & Pearl Refined Oval Bracelet","north-pearl-signature-bracelet-6682","ACTIVE","1","1","0","0","DENY"
"North & Pearl Refined Polished Earrings","north-pearl-signature-earrings-6915","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Clover Bracelet","north-pearl-clover-bracelet-7425","ACTIVE","1","1","0","0","DENY"
"North & Pearl Giftable Jewelry Set","north-pearl-signature-jewelry-set","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Jewelry Set","north-pearl-signature-jewelry-set-8616","ACTIVE","1","1","0","0","DENY"
"North & Pearl Stacking Giftable Sparkle Bracelet","north-pearl-sparkle-bracelet-8259","ACTIVE","1","1","0","0","DENY"
"North & Pearl Giftable Letter Earrings","north-pearl-letter-earrings-5006","ACTIVE","1","1","0","0","DENY"
"North & Pearl Charm Classic Initial Necklace","north-pearl-initial-necklace-5273","ACTIVE","1","1","0","0","DENY"
